"REF_DATE","GEO","DGUID","Labour force characteristics","National Occupational Classification (NOC)","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-06","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Both sexes","Percentage","242","units","0","v102040294","1.6.3.1","4.9","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Both sexes","Percentage","242","units","0","v102040294","1.6.3.1","4.1","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Both sexes","Percentage","242","units","0","v102040294","1.6.3.1","5.3","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Both sexes","Percentage","242","units","0","v102040294","1.6.3.1","5.1","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Both sexes","Percentage","242","units","0","v102040294","1.6.3.1","4.3","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Both sexes","Percentage","242","units","0","v102040294","1.6.3.1","4.0","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Males","Percentage","242","units","0","v102040295","1.6.3.2","5.8","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Males","Percentage","242","units","0","v102040295","1.6.3.2","","x","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Males","Percentage","242","units","0","v102040295","1.6.3.2","","x","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Males","Percentage","242","units","0","v102040295","1.6.3.2","","x","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Males","Percentage","242","units","0","v102040295","1.6.3.2","","x","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Males","Percentage","242","units","0","v102040295","1.6.3.2","7.0","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Males","Percentage","242","units","0","v102040295","1.6.3.2","5.3","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Senior management occupations [00]","Males","Percentage","242","units","0","v102040295","1.6.3.2","6.1","","","","1"
